order_no,run_script_date,satelite_checked,datatype_checked,station_checked,location_on_map,status
8304042195,2023-05-05,NOAA-15,"Gilmore Creek, AK,Monterey, CA","Global Area Coverage (GAC) 4KM Level 1B,High Resolution Picture Transmission (HRPT) 1KM Level 1B",North America,done
8304960984,2023-05-08,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8314324937,2023-06-15,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8321784317,2023-07-11,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8321789388,2023-07-11,NOAA-18,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8331112416,2023-08-12,NOAA-18,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8331120827,2023-08-12,NOAA-18,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8331121738,2023-08-12,NOAA-18,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8331311706,2023-08-13,NOAA-18,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8331616249,2023-08-14,NOAA-18,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8331849151,2023-08-14,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8331919486,2023-08-15,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8332220563,2023-08-16,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8332524700,2023-08-17,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8332831269,2023-08-18,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8333135041,2023-08-19,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8333439634,2023-08-20,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8333741478,2023-08-21,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8334044403,2023-08-22,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8334346095,2023-08-23,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8334649600,2023-08-24,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8334954027,2023-08-25,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8335256767,2023-08-26,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8335559583,2023-08-27,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8335862307,2023-08-28,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8336164246,2023-08-29,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8336466508,2023-08-30,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8336769362,2023-08-31,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8337068720,2023-09-01,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8337373100,2023-09-02,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8337676689,2023-09-03,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8337976725,2023-09-04,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8338277215,2023-09-05,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8338578111,2023-09-06,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8338888533,2023-09-07,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8339200717,2023-09-08,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8339504707,2023-09-09,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8339815861,2023-09-10,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8340123386,2023-09-11,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8340397798,2023-09-12,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8340702301,2023-09-13,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8341008221,2023-09-14,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8341313079,2023-09-15,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8341642031,2023-09-16,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8342253543,2023-09-18,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
8342562466,2023-09-19,NOAA-15,"Monterey, CA",High Resolution Picture Transmission (HRPT) 1KM Level 1B,North America,done
